month,staff,type,card_type,amount,tip,total
june,Ashley A,Credit Card,Mastercard,257.58,0,257.58
june,AM Bar,Credit Card,Visa,58.88,15,73.88
june,Jess N,Credit Card,Mastercard,6,2,8
june,AM Bar,Cash,,9,0,9
june,Ashley A,Credit Card,Visa,76.32,20,96.32
june,Alexis F,Credit Card,Visa,40.88,8,48.88
june,AM Bar,Credit Card,Visa,50.88,10,60.88
june,KJ V,Credit Card,Visa,152.64,30,182.64
june,AM Bar,Credit Card,Discover,54.33,0,54.33
june,Alexis F,Credit Card,Visa,25.44,5,30.44
june,Alexis F,Credit Card,Discover,29.44,6,35.44
june,Alexis F,Credit Card,Visa,29.44,5,34.44
june,Alexis F,Credit Card,Mastercard,25.44,6,31.44
june,Alexis F,Credit Card,Visa,29.44,5,34.44
june,Alexis F,Credit Card,Visa,29.44,5,34.44
june,Alexis F,Credit Card,Mastercard,29.44,6,35.44
june,AM Bar,Credit Card,Mastercard,107.62,22,129.62
june,Alexis F,Credit Card,Visa,29.44,6,35.44
june,AM Bar,Credit Card,Mastercard,64.18,30,94.18
june,Alexis F,Credit Card,Visa,40.88,12.12,53
june,AM Bar,Credit Card,Visa,50.88,5,55.88
june,AM Bar,Cash,,9,0,9
june,KJ V,Cash,,49.4,0,49.4
june,Ashley A,Credit Card,Visa,45.8,0,45.8
june,Ashley A,Cash,,58.88,0,58.88
june,Ashley A,Credit Card,Mastercard,70.88,15,85.88
june,Take Out,Credit Card,Mastercard,100,0,100
june,KJ V,Credit Card,Visa,76.32,0,76.32
june,Ashley A,Credit Card,Visa,50.88,10,60.88
june,Alexis F,Credit Card,Amex,198.22,38,236.22
june,Alexis F,Credit Card,Visa,50.88,10,60.88
june,AM Bar,Credit Card,Visa,50,0,50
june,AM Bar,Gift Card,,26.32,0,26.32
june,Alexis F,Credit Card,Visa,106,0,106
june,Ashley A,Credit Card,Visa,48.89,0,48.89
june,AM Bar,Credit Card,Visa,82.88,16.2,99.08
june,Ashley A,Credit Card,Amex,76.32,10,86.32
june,Ashley A,Credit Card,Mastercard,83.89,17,100.89
june,Ashley A,Credit Card,Mastercard,83.89,15,98.89
june,Alexis F,Credit Card,Visa,90.1,20,110.1
june,Ashley A,Cash,,157.54,0,157.54
june,Alexis F,Credit Card,Visa,134.65,27,161.65
june,Alexis F,Credit Card,Mastercard,168.64,0,168.64
june,AM Bar,Credit Card,Mastercard,66.88,16,82.88
june,KJ V,Credit Card,Mastercard,50.88,12,62.88
june,KJ V,Credit Card,Visa,105.76,20,125.76
june,KJ V,Credit Card,Visa,105.76,20,125.76
june,Jess N,Credit Card,Visa,24,5,29
june,Ashley A,Credit Card,Visa,92.32,0,92.32
june,AM Bar,Credit Card,Amex,70.88,20,90.88
june,Take Out,Credit Card,Mastercard,100,0,100
june,Ashley A,Cash,,58.88,0,58.88
june,AM Bar,Cash,,58.88,0,58.88
june,Take Out,Cash,,50,0,50
june,Ashley A,Credit Card,Mastercard,50.88,0,50.88
june,AM Bar,Credit Card,Visa,138.94,27,165.94
june,Jess N,Credit Card,Visa,986.92,0,986.92
june,AM Bar,Cash,,50,0,50
june,AM Bar,Credit Card,Visa,29.35,18,47.35
june,KJ V,Credit Card,Visa,811.34,0,811.34
june,Ashley A,Credit Card,Visa,109.21,22,131.21
june,Ashley A,Credit Card,Amex,159.48,0,159.48
june,AM Bar,Credit Card,Visa,164.01,45.99,210
june,Alexis F,Credit Card,Mastercard,243.5,0,243.5
june,Alexis F,Cash,,0,0,0
june,KJ V,Credit Card,Mastercard,25.44,5,30.44
june,KJ V,Credit Card,Discover,25.44,5,30.44
june,Ashley A,Credit Card,Visa,50.88,10,60.88
june,Alexis F,Credit Card,Mastercard,128.31,26,154.31
june,Alexis F,Credit Card,Visa,167.48,20,187.48
june,KJ V,Cash,,264.96,0,264.96
june,KJ V,Credit Card,Amex,105.49,0,105.49
june,AM Bar,Cash,,67.58,0,67.58
june,Ashley A,Credit Card,Visa,450.94,0,450.94
june,Alexis F,Credit Card,Visa,58,0,58
june,Alexis F,Cash,,133.56,0,133.56
june,AM Bar,Credit Card,Visa,60.53,12,72.53
june,AM Bar,Gift Card,,100,0,100
june,AM Bar,Credit Card,Visa,18.44,25,43.44
june,Alexis F,Cash,,18,0,18
june,AM Bar,Credit Card,Visa,47.25,10,57.25
june,AM Bar,Credit Card,Visa,55.44,12,67.44
june,Alexis F,Credit Card,Visa,68.69,0,68.69
june,AM Bar,Credit Card,Mastercard,25.44,10,35.44
june,Take Out,Credit Card,Amex,37.1,0,37.1
june,Alexis F,Cash,,148.3,0,148.3
june,Banquet Bar,Credit Card,Visa,1640.64,0,1640.64
june,AM Bar,Credit Card,Mastercard,69.16,0,69.16
june,AM Bar,Cash,,27.14,0,27.14
june,Ashley A,Credit Card,Mastercard,75.3,12,87.3
june,Ashley A,Credit Card,Amex,75.29,12,87.29
june,Ashley A,Credit Card,Visa,75.29,15,90.29
june,Ashley A,Credit Card,Visa,259.81,60,319.81
june,PM Bar,Credit Card,Visa,23,7,30
june,Take Out,Credit Card,Visa,47.7,5,52.7
june,PM Bar,Credit Card,Mastercard,68.92,15,83.92
june,PM Bar,Credit Card,Amex,17.5,4,21.5
june,Take Out,Credit Card,Mastercard,84.8,10,94.8
june,KJ V,Gift Card,,100,0,100
june,Lisa W,Credit Card,Visa,54.33,16,70.33
june,KJ V,Credit Card,Visa,39.3,35,74.3
june,Take Out,Credit Card,Mastercard,200,0,200
june,Lisa W,Cash,,143.65,0,143.65
june,PM Bar,Cash,,5.5,0,5.5
june,Lisa W,Credit Card,Visa,98.26,31.74,130
june,Take Out,Credit Card,Mastercard,119.78,5.22,125
june,KJ V,Credit Card,Amex,95.98,20,115.98
june,Take Out,Credit Card,Visa,111.3,15,126.3
june,PM Bar,Credit Card,Visa,15.5,3,18.5
june,PM Bar,Credit Card,Visa,9.5,3,12.5
june,PM Bar,Cash,,15,0,15
june,PM Bar,Cash,,16,0,16
june,PM Bar,Cash,,8,0,8
june,KJ V,Credit Card,Mastercard,138.33,30,168.33
june,PM Bar,Cash,,6.5,0,6.5
june,PM Bar,Credit Card,Visa,106.97,0,106.97
june,PM Bar,Cash,,4,0,4
june,Ashley A,Cash,,38.16,0,38.16
june,Mackenzie W,Gift Card,,146.84,0,146.84
june,PM Bar,Credit Card,Visa,12,1,13
june,PM Bar,Cash,,7.5,0,7.5
june,Take Out,Credit Card,Amex,25,0,25
june,PM Bar,Credit Card,Mastercard,15,3,18
june,Take Out,Credit Card,Mastercard,64.4,0,64.4
june,PM Bar,Credit Card,Visa,20,4,24
june,PM Bar,Credit Card,Visa,14,2,16
june,PM Bar,Cash,,8,0,8
june,PM Bar,Credit Card,Amex,19,2,21
june,Taryn R,Credit Card,Mastercard,156.26,30,186.26
june,PM Bar,Credit Card,Mastercard,9,2,11
june,PM Bar,Cash,,17,0,17
june,PM Bar,Cash,,11,0,11
june,PM Bar,Cash,,7,0,7
june,Mackenzie W,Credit Card,Visa,43.46,0,43.46
june,PM Bar,Cash,,8,0,8
june,PM Bar,Credit Card,Mastercard,14.42,3,17.42
june,PM Bar,Credit Card,Mastercard,9,0,9
june,Take Out,Cash,,58.57,0,58.57
june,PM Bar,Credit Card,Visa,35.5,4.5,40
june,PM Bar,Cash,,127.37,0,127.37
june,PM Bar,Cash,,14,0,14
june,PM Bar,Cash,,7.5,0,7.5
june,PM Bar,Cash,,6.5,0,6.5
june,Take Out,Credit Card,Mastercard,66.78,14,80.78
june,PM Bar,Credit Card,Visa,50.84,10,60.84
june,Jean P,Credit Card,Visa,47.73,0,47.73
june,PM Bar,Credit Card,Amex,21.75,3,24.75
june,Jean P,Gift Card,,50,0,50
june,Jean P,Credit Card,Mastercard,46.86,20,66.86
june,Lisa W,Credit Card,Amex,57.64,12,69.64
june,Take Out,Credit Card,Mastercard,57.24,0,57.24
june,Taryn R,Cash,,236.8,0,236.8
june,Take Out,Credit Card,Visa,53,0,53
june,PM Bar,Credit Card,Visa,14,5,19
june,Mackenzie W,Credit Card,Mastercard,215.3,42,257.3
june,PM Bar,Credit Card,Mastercard,9,2,11
june,PM Bar,Cash,,8,0,8
june,PM Bar,Credit Card,Mastercard,7,2,9
june,Ashley A,Credit Card,Visa,30.44,6,36.44
june,PM Bar,Cash,,129.31,0,129.31
june,Mackenzie W,Credit Card,Discover,113.5,20,133.5
june,KJ V,Credit Card,Visa,375.83,100,475.83
june,Take Out,Credit Card,Visa,29.68,0,29.68
june,Taryn R,Credit Card,Visa,72.74,20,92.74
june,Take Out,Cash,,46.64,0,46.64
june,Take Out,Cash,,36.04,0,36.04
june,Ashley A,Cash,,133.44,0,133.44
june,KJ V,Credit Card,Visa,107.27,25,132.27
june,PM Bar,Cash,,33.71,0,33.71
june,Lisa W,Cash,,82.58,0,82.58
june,Take Out,Credit Card,Visa,79.5,0,79.5
june,Ashley A,Gift Card,,75,0,75
june,Ashley A,Credit Card,Mastercard,186.38,52,238.38
june,Mackenzie W,Credit Card,Visa,77.38,15,92.38
june,Ashley A,Credit Card,Visa,34.44,0,34.44
june,Ashley A,Credit Card,Visa,52.57,0,52.57
june,Take Out,Credit Card,Mastercard,66.78,0,66.78
june,Ashley A,Credit Card,Visa,77.48,10,87.48
june,PM Bar,Credit Card,Visa,12.25,2,14.25
june,Ashley A,Credit Card,Visa,88.9,0,88.9
june,Keira Heinzmann,Credit Card,Amex,56.18,2,58.18
june,Lisa W,Credit Card,Visa,176.02,40,216.02
june,Lisa W,Credit Card,Mastercard,52.18,9,61.18
june,PM Bar,Cash,,48.6,0,48.6
june,PM Bar,Credit Card,Mastercard,33,7,40
june,Banquet Bar,Credit Card,Visa,2446,0,2446
june,Ashley A,Gift Card,,30,0,30
june,Ashley A,Cash,,51.69,0,51.69
june,PM Bar,Credit Card,Visa,76.51,0,76.51
june,PM Bar,Credit Card,Visa,96.54,0,96.54
june,Taryn R,Credit Card,Visa,109.34,30,139.34
june,Jean P,Credit Card,Mastercard,119.05,22,141.05
june,Jean P,Credit Card,Mastercard,119.05,22,141.05
june,PM Bar,Credit Card,Visa,28.26,6,34.26
june,PM Bar,Credit Card,Visa,41.77,8,49.77
june,PM Bar,Credit Card,Visa,41.77,8,49.77
june,PM Bar,Credit Card,Mastercard,77.8,10,87.8
june,Lisa W,Cash,,42.07,0,42.07
june,Take Out,Custom Tender,,300,0,300
june,Lisa W,Credit Card,Visa,73.52,20,93.52
june,PM Bar,Credit Card,Visa,50.26,7,57.26
june,Jean P,Credit Card,Mastercard,155,0,155
june,Jean P,Credit Card,Visa,155,0,155
june,Jean P,Cash,,206.42,0,206.42
june,Jean P,Credit Card,Visa,73,15,88
june,Take Out,Credit Card,Visa,4.77,0,4.77
june,Taryn R,Credit Card,Mastercard,64.35,10,74.35
june,Lisa W,Credit Card,Visa,55.97,15,70.97
june,Take Out,Credit Card,Visa,7.42,0,7.42
june,Lisa W,Cash,,94.5,0,94.5
june,Ashley A,Cash,,0,0,0
june,PM Bar,Cash,,16,0,16
june,PM Bar,Cash,,84.52,0,84.52
june,PM Bar,Cash,,129.24,0,129.24
june,PM Bar,Cash,,11.5,0,11.5
june,PM Bar,Cash,,15.9,0,15.9
june,PM Bar,Cash,,82.06,0,82.06
june,PM Bar,Cash,,43.34,0,43.34
june,PM Bar,Cash,,15,0,15
june,PM Bar,Cash,,13.25,0,13.25
june,PM Bar,Credit Card,Mastercard,15,3,18
june,PM Bar,Cash,,15.5,0,15.5
june,Matt G,Credit Card,Visa,-200,0,-200
june,Take Out,Credit Card,Amex,91.16,10,101.16
june,Clay  R,Gift Card,,32.86,0,32.86
june,Alexis F,Credit Card,Visa,100.96,0,100.96
june,Take Out,Custom Tender,,100,0,100
june,AM Bar,Cash,,75.12,0,75.12
june,Clay  R,Credit Card,Mastercard,40.28,8,48.28
june,Clay  R,Credit Card,Amex,28.52,5,33.52
june,Clay  R,Credit Card,Visa,25.44,5,30.44
june,KJ V,Cash,,31.59,0,31.59
june,Clay  R,Credit Card,Visa,28.52,0,28.52
june,KJ V,Cash,,34.88,0,34.88
june,AM Bar,Cash,,9.5,0,9.5
june,Take Out,Credit Card,Mastercard,11.13,0,11.13
june,Alexis F,Credit Card,Visa,21.68,5,26.68
june,Alexis F,Credit Card,Visa,21.68,5,26.68
june,Clay  R,Credit Card,Mastercard,45.48,10,55.48
june,KJ V,Credit Card,Visa,54.22,12,66.22
june,Take Out,Credit Card,Mastercard,16.96,0,16.96
