Table Names,item,size,category,sku,quantity,net_sales,gross_sales,cost,net_margin,gross_margin
Sandwiches April 2024.csv,The Usual Burger,,FOOD,,507,7713.09,8090.25,1637.98,6075.11,6452.27
Sandwiches April 2024.csv,Total,,,,3748,47474.41,50051.25,15243.3,,
Salads April 2024.csv,Caesar Salad,,FOOD,,264,5021.55,5218.5,993.96,4027.59,4224.54
Salads April 2024.csv,Chili,Bowl,FOOD,,6,48,48,,,
Salads April 2024.csv,Chili,Cup,FOOD,,2,11.4,12,,,
Salads April 2024.csv,Chimichurri Steak Salad,,FOOD,,212,4319.74,4457.5,1768.47,2551.27,2689.03
Salads April 2024.csv,Crab Cakes,,BANQUETS,,13,208,208,,,
Salads April 2024.csv,Cranberry Quinoa Salad,,FOOD,,191,3373.23,3525,433.4,2939.83,3091.6
Salads April 2024.csv,Fajita Salad,,FOOD,,206,3592.46,3748,1014.03,2578.43,2733.97
Salads April 2024.csv,Fall Harvest Salad,,FOOD,,1,16,16,3.72,12.28,12.28
Salads April 2024.csv,French Onion Soup,,FOOD,,383,2991.04,3064,,,
Salads April 2024.csv,House Salad,,FOOD,,25,379.22,392,,,
Salads April 2024.csv,New York Steak Salad,,FOOD,,2,26,26,,,
Salads April 2024.csv,New York Strip Steak,,FOOD,,16,256,256,169.28,86.72,86.72
Salads April 2024.csv,Petite Filet,,FOOD,,1,20,20,7.24,12.76,12.76
Salads April 2024.csv,Side Caesar Salad,,FOOD,,172,1399.14,1534,262.35,1136.79,1271.65
Salads April 2024.csv,Side Garden Salad,,FOOD,,181,1404.41,1475,284.55,1119.86,1190.45
Salads April 2024.csv,Soup Du Jour,Cup,FOOD,,308,1483.09,1540,,,
Salads April 2024.csv,Soup Du Jour,Bowl,FOOD,,113,749.01,791,,,
Salads April 2024.csv,Sub Caesar 1st,,FOOD,,4,0,0,,,
Salads April 2024.csv,Sub House 1st,,FOOD,,16,0,0,,,
Salads April 2024.csv,Wedge Salad,,FOOD,,256,4121.72,4265,549.01,3572.71,3715.99
Salads April 2024.csv,Total,,,,2372,29420.01,30596,5486.01,,
Tavern April 2024.csv,Adult Pasta,,FOOD,,18,209.81,301,,,
Tavern April 2024.csv,BBQ Chicken,,FOOD,,93,1624.1,1674,402.96,1221.14,1271.04
Tavern April 2024.csv,Baked Potato,,FOOD,,131,0,0,,,
Tavern April 2024.csv,Chicken Baltimore,,FOOD,,2,44.13,50,,,
Tavern April 2024.csv,Chicken Marsala,,FOOD,,7,126.46,140.5,,,
Tavern April 2024.csv,Chicken Parmigiana,,FOOD,,386,7443.18,7752,1749.3,5693.88,6002.7
Tavern April 2024.csv,Chicken Pot Pie,,FOOD,,402,6241.17,6432,1708.2,4532.97,4723.8
Tavern April 2024.csv,Eggplant Parmigiana,,FOOD,,171,2632.56,2736,430.92,2201.64,2305.08
Tavern April 2024.csv,French Fries,,FOOD,,96,50,50,70.35,-20.35,-20.35
Tavern April 2024.csv,Jaeger Schnitzel,,FOOD,,337,7234.23,7422,851.85,6382.38,6570.15
Tavern April 2024.csv,Meatloaf,,FOOD,,15,224.64,240,,,
Tavern April 2024.csv,New York Strip Steak,,FOOD,,14,224,224,148.12,75.88,75.88
Tavern April 2024.csv,Sautéed Liver,,FOOD,,1,24,24,,,
Tavern April 2024.csv,Shrimp Kabobs,,FOOD,,152,2873.58,3022,706.55,2167.03,2315.45
Tavern April 2024.csv,Side Applesauce,,FOOD,,6,0,0,,,
Tavern April 2024.csv,Side Baked Pot,,FOOD,,8,24,24,,,
Tavern April 2024.csv,Side Broccoli,,FOOD,,2,0,0,,,
Tavern April 2024.csv,Side Caesar Salad,,FOOD,,6,0,0,9.54,0,0
Tavern April 2024.csv,Side Garden Salad,,FOOD,,17,0,0,26.67,0,0
Tavern April 2024.csv,Side Spinach,,FOOD,,10,30,30,,,
Tavern April 2024.csv,Side Veg,,FOOD,,117,0,0,,,
Tavern April 2024.csv,Sweet Fries,,FOOD,,15,45,45,24.9,20.1,20.1
Tavern April 2024.csv,Veal Marsala,,FOOD,,1,24,24,,,
Tavern April 2024.csv,Vegetable Stir Fry,,FOOD,,246,4722.37,5052.5,583.08,4139.29,4469.42
Tavern April 2024.csv,Total,,,,2253,33797.23,35243,6712.44,,
