Table Names,item,size,category,quantity,net_sales,gross_sales,cost,gross_margin,net_margin
Sandwiches May 2024.csv,Chicken Burger,,FOOD,81,1218.29,1364.25,405,959.25,813.29
Sandwiches May 2024.csv,Chicken Cutlet Club,,FOOD,267,3822.42,4034.5,819.69,3214.81,3002.73
Sandwiches May 2024.csv,Chicken Parmesan Sandwich,,FOOD,10,103,140,,,
Sandwiches May 2024.csv,Chicken Parmigiana,,FOOD,30,0,0,134.7,0,0
Sandwiches May 2024.csv,Chicken Salad Pita,,FOOD,315,4841.74,5047.5,967.05,4080.45,3874.69
Sandwiches May 2024.csv,Crab Cake Sandwich,,FOOD,350,6149.61,6310,2681,3629,3468.61
Sandwiches May 2024.csv,French Dip,,FOOD,376,7106.21,7543.5,2853.84,4689.66,4252.37
Sandwiches May 2024.csv,French Fries,,FOOD,566,990,990,413.18,576.82,576.82
Sandwiches May 2024.csv,Honey Mustard Chicken Wrap,,FOOD,335,4498.08,5034.5,931.3,4103.2,3566.78
Sandwiches May 2024.csv,Loaded Fries,,FOOD,2,7,7,,,
Sandwiches May 2024.csv,Lobster Roll,,FOOD,240,5823.64,6008,2956.8,3051.2,2866.84
Sandwiches May 2024.csv,Onion Petals,,FOOD,37,111,111,143.56,-32.56,-32.56
Sandwiches May 2024.csv,Side Applesauce,,FOOD,2,0,0,,,
Sandwiches May 2024.csv,Side Caesar Salad,,FOOD,20,0,0,31.8,0,0
Sandwiches May 2024.csv,Side Garden Salad,,FOOD,49,0,0,77.91,0,0
Sandwiches May 2024.csv,Side Spinach,,FOOD,1,1,1,,,
Sandwiches May 2024.csv,Side Veg,,FOOD,23,0,0,,,
Sandwiches May 2024.csv,Sweet Fries,,FOOD,352,878,878,584.32,293.68,293.68
Sandwiches May 2024.csv,The Smokehouse Burger,,FOOD,464,8105.81,8371.25,2092.64,6278.61,6013.17
Sandwiches May 2024.csv,The Usual Burger,,FOOD,542,8346.11,8725.25,1712.72,7012.53,6633.39
Sandwiches May 2024.csv,Total,,,4088,52169.55,54767.75,16805.51,,
